[[2, 41, 22, 74, 73, 40, 53, 26, 54, 24], [21, 72, 75, 56, 23, 67, 39, 25, 55, 4], [27, 69, 30, 51, 9, 71, 35, 34, 78, 33, 1], [28, 76, 12, 29, 81, 79, 3, 50, 77, 68, 80], [31, 11, 63, 90, 10, 20, 66, 65], [52, 7, 82, 18, 8, 46, 48, 60, 89], [83, 45, 17, 84, 5, 6, 94, 96, 97, 13], [88, 62, 19, 47, 36, 49, 64, 32, 70], [92, 98, 44, 16, 86, 38, 14, 37, 100, 91, 93], [95, 59, 99, 61, 85, 87, 57, 15, 43, 42, 58], [95, 42, 14, 44, 38, 86, 16, 17, 5, 60, 89], [1, 51, 81, 33, 79, 9, 78, 29, 68, 3, 77], [2, 57, 15, 43, 41, 22, 74, 56, 72, 21, 58], [52, 31, 88, 62, 11, 63, 10, 90, 32, 20, 70], [83, 18, 45, 8, 84, 61, 91, 100, 85, 93, 96], [92, 98, 37, 59, 99, 97, 87, 6, 94, 13], [28, 50, 76, 53, 40, 4, 54, 12, 26], [73, 75, 23, 67, 39, 55, 25, 24, 80], [7, 19, 64, 49, 36, 46, 47, 48, 82], [27, 69, 30, 65, 66, 71, 35, 34]]

[[27, 69, 30, 65, 66, 71, 35, 34], [27, 69, 30, 51, 9, 71, 35, 34, 78, 33, 1], [7, 19, 64, 49, 36, 46, 47, 48, 82], [95, 59, 99, 61, 85, 87, 57, 15, 43, 42, 58], [92, 98, 44, 16, 86, 38, 14, 37, 100, 91, 93], [31, 11, 63, 90, 10, 20, 66, 65], [83, 18, 45, 8, 84, 61, 91, 100, 85, 93, 96], [52, 31, 88, 62, 11, 63, 10, 90, 32, 20, 70], [21, 72, 75, 56, 23, 67, 39, 25, 55, 4], [92, 98, 37, 59, 99, 97, 87, 6, 94, 13], [28, 76, 12, 29, 81, 79, 3, 50, 77, 68, 80], [2, 57, 15, 43, 41, 22, 74, 56, 72, 21, 58], [52, 7, 82, 18, 8, 46, 48, 60, 89], [2, 41, 22, 74, 73, 40, 53, 26, 54, 24], [83, 45, 17, 84, 5, 6, 94, 96, 97, 13], [1, 51, 81, 33, 79, 9, 78, 29, 68, 3, 77], [28, 50, 76, 53, 40, 4, 54, 12, 26], [88, 62, 19, 47, 36, 49, 64, 32, 70], [95, 42, 14, 44, 38, 86, 16, 17, 5, 60, 89], [73, 75, 23, 67, 39, 55, 25, 24, 80]]

[[52, 7, 82, 18, 8, 46, 48, 60, 89], [73, 75, 23, 67, 39, 55, 25, 24, 80], [27, 69, 30, 51, 9, 71, 35, 34, 78, 33, 1], [27, 69, 30, 65, 66, 71, 35, 34], [7, 19, 64, 49, 36, 46, 47, 48, 82], [95, 42, 14, 44, 38, 86, 16, 17, 5, 60, 89], [2, 41, 22, 74, 73, 40, 53, 26, 54, 24], [1, 51, 81, 33, 79, 9, 78, 29, 68, 3, 77], [28, 50, 76, 53, 40, 4, 54, 12, 26], [2, 57, 15, 43, 41, 22, 74, 56, 72, 21, 58], [83, 18, 45, 8, 84, 61, 91, 100, 85, 93, 96], [83, 45, 17, 84, 5, 6, 94, 96, 97, 13], [92, 98, 44, 16, 86, 38, 14, 37, 100, 91, 93], [21, 72, 75, 56, 23, 67, 39, 25, 55, 4], [52, 31, 88, 62, 11, 63, 10, 90, 32, 20, 70], [28, 76, 12, 29, 81, 79, 3, 50, 77, 68, 80], [88, 62, 19, 47, 36, 49, 64, 32, 70], [95, 59, 99, 61, 85, 87, 57, 15, 43, 42, 58], [31, 11, 63, 90, 10, 20, 66, 65], [92, 98, 37, 59, 99, 97, 87, 6, 94, 13]]

[[52, 7, 82, 18, 8, 46, 48, 60, 89], [2, 57, 15, 43, 41, 22, 74, 56, 72, 21, 58], [88, 62, 19, 47, 36, 49, 64, 32, 70], [52, 31, 88, 62, 11, 63, 10, 90, 32, 20, 70], [7, 19, 64, 49, 36, 46, 47, 48, 82], [92, 98, 37, 59, 99, 97, 87, 6, 94, 13], [21, 72, 75, 56, 23, 67, 39, 25, 55, 4], [28, 50, 76, 53, 40, 4, 54, 12, 26], [28, 76, 12, 29, 81, 79, 3, 50, 77, 68, 80], [31, 11, 63, 90, 10, 20, 66, 65], [1, 51, 81, 33, 79, 9, 78, 29, 68, 3, 77], [27, 69, 30, 65, 66, 71, 35, 34], [83, 45, 17, 84, 5, 6, 94, 96, 97, 13], [95, 42, 14, 44, 38, 86, 16, 17, 5, 60, 89], [83, 18, 45, 8, 84, 61, 91, 100, 85, 93, 96], [2, 41, 22, 74, 73, 40, 53, 26, 54, 24], [95, 59, 99, 61, 85, 87, 57, 15, 43, 42, 58], [27, 69, 30, 51, 9, 71, 35, 34, 78, 33, 1], [73, 75, 23, 67, 39, 55, 25, 24, 80], [92, 98, 44, 16, 86, 38, 14, 37, 100, 91, 93]]

[[2, 57, 15, 43, 41, 22, 74, 56, 72, 21, 58], [95, 59, 99, 61, 85, 87, 57, 15, 43, 42, 58], [21, 72, 75, 56, 23, 67, 39, 25, 55, 4], [27, 69, 30, 65, 66, 71, 35, 34], [52, 7, 82, 18, 8, 46, 48, 60, 89], [92, 98, 37, 59, 99, 97, 87, 6, 94, 13], [95, 42, 14, 44, 38, 86, 16, 17, 5, 60, 89], [92, 98, 44, 16, 86, 38, 14, 37, 100, 91, 93], [28, 50, 76, 53, 40, 4, 54, 12, 26], [83, 18, 45, 8, 84, 61, 91, 100, 85, 93, 96], [31, 11, 63, 90, 10, 20, 66, 65], [1, 51, 81, 33, 79, 9, 78, 29, 68, 3, 77], [28, 76, 12, 29, 81, 79, 3, 50, 77, 68, 80], [88, 62, 19, 47, 36, 49, 64, 32, 70], [52, 31, 88, 62, 11, 63, 10, 90, 32, 20, 70], [73, 75, 23, 67, 39, 55, 25, 24, 80], [7, 19, 64, 49, 36, 46, 47, 48, 82], [2, 41, 22, 74, 73, 40, 53, 26, 54, 24], [27, 69, 30, 51, 9, 71, 35, 34, 78, 33, 1], [83, 45, 17, 84, 5, 6, 94, 96, 97, 13]]

[[1, 51, 81, 33, 79, 9, 78, 29, 68, 3, 77], [83, 18, 45, 8, 84, 61, 91, 100, 85, 93, 96], [7, 19, 64, 49, 36, 46, 47, 48, 82], [28, 76, 12, 29, 81, 79, 3, 50, 77, 68, 80], [21, 72, 75, 56, 23, 67, 39, 25, 55, 4], [88, 62, 19, 47, 36, 49, 64, 32, 70], [92, 98, 37, 59, 99, 97, 87, 6, 94, 13], [52, 7, 82, 18, 8, 46, 48, 60, 89], [27, 69, 30, 65, 66, 71, 35, 34], [28, 50, 76, 53, 40, 4, 54, 12, 26], [52, 31, 88, 62, 11, 63, 10, 90, 32, 20, 70], [27, 69, 30, 51, 9, 71, 35, 34, 78, 33, 1], [92, 98, 44, 16, 86, 38, 14, 37, 100, 91, 93], [31, 11, 63, 90, 10, 20, 66, 65], [2, 41, 22, 74, 73, 40, 53, 26, 54, 24], [95, 42, 14, 44, 38, 86, 16, 17, 5, 60, 89], [73, 75, 23, 67, 39, 55, 25, 24, 80], [83, 45, 17, 84, 5, 6, 94, 96, 97, 13], [95, 59, 99, 61, 85, 87, 57, 15, 43, 42, 58], [2, 57, 15, 43, 41, 22, 74, 56, 72, 21, 58]]

[[2, 57, 15, 43, 41, 22, 74, 56, 72, 21, 58], [21, 72, 75, 56, 23, 67, 39, 25, 55, 4], [88, 62, 19, 47, 36, 49, 64, 32, 70], [83, 18, 45, 8, 84, 61, 91, 100, 85, 93, 96], [27, 69, 30, 65, 66, 71, 35, 34], [52, 7, 82, 18, 8, 46, 48, 60, 89], [1, 51, 81, 33, 79, 9, 78, 29, 68, 3, 77], [92, 98, 44, 16, 86, 38, 14, 37, 100, 91, 93], [28, 76, 12, 29, 81, 79, 3, 50, 77, 68, 80], [7, 19, 64, 49, 36, 46, 47, 48, 82], [31, 11, 63, 90, 10, 20, 66, 65], [27, 69, 30, 51, 9, 71, 35, 34, 78, 33, 1], [28, 50, 76, 53, 40, 4, 54, 12, 26], [2, 41, 22, 74, 73, 40, 53, 26, 54, 24], [95, 59, 99, 61, 85, 87, 57, 15, 43, 42, 58], [52, 31, 88, 62, 11, 63, 10, 90, 32, 20, 70], [73, 75, 23, 67, 39, 55, 25, 24, 80], [92, 98, 37, 59, 99, 97, 87, 6, 94, 13], [95, 42, 14, 44, 38, 86, 16, 17, 5, 60, 89], [83, 45, 17, 84, 5, 6, 94, 96, 97, 13]]

